bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,404461,5,100000,7024519,1870386,105519,708.0,28.0,1580.0
don-quixote,404461,5,500000,7024519,7614515,428408,1572.0,24.0,6228.0
don-quixote,404461,6,1000,7024520,18696,1007,436.0,0.0,456.0
don-quixote,404461,6,10000,7024520,187007,10096,432.0,4.0,548.0
don-quixote,404461,6,100000,7024520,1870343,101396,688.0,28.0,1752.0
don-quixote,404461,6,500000,7024520,6434523,348567,1528.0,56.0,3276.0
don-quixote,404461,7,1000,7024521,18698,1002,464.0,8.0,927.0
don-quixote,404461,7,10000,7024521,187073,10108,464.0,8.0,875.0
don-quixote,404461,7,100000,7024521,1870257,100563,808.0,44.0,2801.0
don-quixote,404461,7,500000,7024521,622471,33584,528.0,8.0,4259.0
madame-bovary,112972,2,1000,1796267,16852,9966,104.0,0.0,131.0
madame-bovary,112972,2,10000,1796267,69041,31516,124.0,16.0,229.0
madame-bovary,112972,2,100000,1796267,968168,708407,236.0,0.0,257.0
madame-bovary,112972,2,500000,1796267,645935,471281,196.0,0.0,804.0
madame-bovary,112972,3,1000,1796277,16862,1326,96.0,8.0,169.0
madame-bovary,112972,3,10000,1796277,168637,12746,140.0,8.0,333.0
madame-bovary,112972,3,100000,1796277,1686278,129988,296.0,12.0,728.0
madame-bovary,112972,3,500000,1796277,1647356,128240,288.0,8.0,718.0
madame-bovary,112972,4,1000,1796279,16863,1029,92.0,0.0,104.0
madame-bovary,112972,4,10000,1796279,168625,10338,128.0,0.0,158.0
madame-bovary,112972,4,100000,1796279,1686418,103499,448.0,12.0,1135.0
madame-bovary,112972,4,500000,1796279,67301,4220,112.0,4.0,218.0
madame-bovary,112972,5,1000,1796279,16856,1001,100.0,8.0,134.0
